# AI-assisted pronunciation drafts. key;exact definition text;numbered Hanzi readings (0 neutral). No sandhi substitution for yi/bu. Independent review pending.
word:学习;通过阅读、听讲或练习获得知识和技能。;tong1 guo4 yue4 du2 ting1 jiang3 huo4 lian4 xi2 huo4 de2 zhi1 shi2 he2 ji4 neng2
word:细心;做事认真，注意细节。;zuo4 shi4 ren4 zhen1 zhu4 yi4 xi4 jie2
word:直接;不经过中间环节。;bu4 jing1 guo4 zhong1 jian1 huan2 jie2
word:纸张;纸的总称。;zhi3 de0 zong3 cheng1
word:至少;表示最小的数量或最低的程度。;biao3 shi4 zui4 xiao3 de0 shu4 liang4 huo4 zui4 di1 de0 cheng2 du4
word:迟到;比规定的时间晚到。;bi3 gui1 ding4 de0 shi2 jian1 wan3 dao4
word:尺子;测量长度或画直线的工具。;ce4 liang2 chang2 du4 huo4 hua4 zhi2 xian4 de0 gong1 ju4
word:翅膀;鸟或昆虫用来飞行的器官。;niao3 huo4 kun1 chong2 yong4 lai2 fei1 xing2 de0 qi4 guan1
word:诗人;写诗的人。;xie3 shi1 de0 ren2
word:时间;事情发生或持续的时刻、长短。;shi4 qing2 fa1 sheng1 huo4 chi2 xu4 de0 shi2 ke4 chang2 duan3
word:历史;过去发生的事情及其发展过程。;guo4 qu4 fa1 sheng1 de0 shi4 qing2 ji2 qi2 fa1 zhan3 guo4 cheng2
word:事情;人们做的活动或发生的情况。;ren2 men0 zuo4 de0 huo2 dong4 huo4 fa1 sheng1 de0 qing2 kuang4
word:忍耐;把痛苦或不满的感觉克制住。;ba3 tong4 ku3 huo4 bu4 man3 de0 gan3 jue2 ke4 zhi4 zhu4
word:日记;按日期记录每天经历或想法的文字。;an4 ri4 qi1 ji4 lu4 mei3 tian1 jing1 li4 huo4 xiang3 fa3 de0 wen2 zi4
word:资源;可以利用的自然物或人力、物力。;ke3 yi3 li4 yong4 de0 zi4 ran2 wu4 huo4 ren2 li4 wu4 li4
word:自己;指本人。;zhi3 ben3 ren2
word:从来;从过去到现在一直如此。;cong2 guo4 qu4 dao4 xian4 zai4 yi4 zhi2 ru2 ci3
word:死亡;生命结束。;sheng1 ming4 jie2 shu4
word:四季;春、夏、秋、冬四个季节。;chun1 xia4 qiu1 dong1 si4 ge4 ji4 jie2
word:移动;改变原来的位置。;gai3 bian4 yuan2 lai2 de0 wei4 zhi4
word:椅子;有靠背、供人坐的家具。;you3 kao4 bei4 gong1 ren2 zuo4 de0 jia1 ju4
word:意思;语言或行为所表达的含义。;yu3 yan2 huo4 xing2 wei2 suo3 biao3 da2 de0 han2 yi4
word:屋子;房屋里的房间。;fang2 wu1 li3 de0 fang2 jian1
word:无数;数量非常多。;shu4 liang4 fei1 chang2 duo1
word:物品;各种东西的统称。;ge4 zhong3 dong1 xi1 de0 tong3 cheng1
word:金鱼;一种常作为观赏鱼饲养的鱼。;yi1 zhong3 chang2 zuo4 wei2 guan1 shang3 yu2 si4 yang3 de0 yu2
word:玉米;一种结棒状果穗的粮食作物。;yi1 zhong3 jie2 bang4 zhuang4 guo3 sui4 de0 liang2 shi2 zuo4 wu4
word:恶心;想呕吐，或令人感到厌恶。;xiang3 ou3 tu4 huo4 ling4 ren2 gan3 dao4 yan4 wu4
word:饥饿;肚子空、想吃东西的感觉。;du3 zi0 kong1 xiang3 chi1 dong1 xi1 de0 gan3 jue2
word:悲哀;伤心、难过。;shang1 xin1 nan2 guo4
word:爱好;对某种事物特别喜欢。;dui4 mou3 zhong3 shi4 wu4 te4 bie2 xi3 huan1
word:杯子;盛水或其他饮料的器具。;sheng4 shui3 huo4 qi2 ta1 yin3 liao4 de0 qi4 ju4
word:肥皂;洗涤时用的一种清洁用品。;xi3 di2 shi2 yong4 de0 yi1 zhong3 qing1 jie2 yong4 pin3
word:北方;北边的地区。;bei3 bian1 de0 di4 qu1
word:宝贝;珍贵或受到珍爱的东西。;zhen1 gui4 huo4 shou4 dao4 zhen1 ai4 de0 dong1 xi1
word:归还;把借来的东西交还原主。;ba3 jie4 lai2 de0 dong1 xi1 jiao1 huan2 yuan2 zhu3
word:魔鬼;传说中害人的鬼怪。;chuan2 shuo1 zhong1 hai4 ren2 de0 gui3 guai4
word:贵重;价值很高，值得珍惜。;jia4 zhi2 hen3 gao1 zhi2 de0 zhen1 xi1
word:包子;用面皮包馅蒸成的食品。;yong4 mian4 pi2 bao1 xian4 zheng1 cheng2 de0 shi2 pin3
word:抱歉;因过失而感到对不起别人。;yin1 guo4 shi1 er2 gan3 dao4 dui4 bu4 qi3 bie2 ren2
word:沟通;彼此交流，使能够理解。;bi3 ci3 jiao1 liu2 shi3 neng2 gou4 li3 jie3
word:楼房;两层或两层以上的房屋。;liang3 ceng2 huo4 liang3 ceng2 yi3 shang4 de0 fang2 wu1
word:柳树;枝条细长、叶片狭长的一种树。;zhi1 tiao2 xi4 chang2 ye4 pian4 xia2 chang2 de0 yi1 zhong3 shu4
word:街道;城镇中供人车通行的道路。;cheng2 zhen4 zhong1 gong1 ren2 che1 tong1 xing2 de0 dao4 lu4
word:节日;庆祝或纪念的日子。;qing4 zhu4 huo4 ji4 nian4 de0 ri4 zi0
word:了解;知道事情的情况或道理。;zhi1 dao4 shi4 qing2 de0 qing2 kuang4 huo4 dao4 li3
word:约会;约定时间见面。;yue1 ding4 shi2 jian1 jian4 mian4
word:雪花;从云中落下的白色冰晶。;cong2 yun2 zhong1 la4 xia4 de0 bai2 se4 bing1 jing1
word:儿童;年纪小的人。;nian2 ji4 xiao3 de0 ren2
word:安全;没有危险。;mei2 you3 wei1 xian3
word:寒冷;温度低，让人觉得冷。;wen1 du4 di1 rang4 ren2 jue2 de0 leng3
word:展览;把物品陈列出来供人观看。;ba3 wu4 pin3 chen2 lie4 chu1 lai2 gong1 ren2 guan1 kan4
word:海岸;海洋边缘的陆地。;hai3 yang2 bian1 yuan2 de0 lu4 di4
word:根本;事物最主要、最基础的部分。;shi4 wu4 zui4 zhu3 yao4 zui4 ji1 chu3 de0 bu4 fen4
word:认真;严肃对待，仔细去做。;yan2 su4 dui4 dai4 zi3 xi4 qu4 zuo4
word:音乐;通过有组织的声音表达感情的艺术。;tong1 guo4 you3 zu3 zhi1 de0 sheng1 yin1 biao3 da2 gan3 qing2 de0 yi4 shu4
word:银行;办理存款、贷款等业务的机构。;ban4 li3 cun2 kuan3 dai4 kuan3 deng3 ye4 wu4 de0 ji1 gou4
word:引导;带领别人朝某个方向前进。;dai4 ling3 bie2 ren2 chao2 mou3 ge4 fang1 xiang4 qian2 jin4
word:印象;事物在头脑中留下的形象或感觉。;shi4 wu4 zai4 tou2 nao3 zhong1 liu2 xia4 de0 xing2 xiang4 huo4 gan3 jue2
word:温暖;不冷不热，使人舒服。;bu4 leng3 bu4 re4 shi3 ren2 shu1 fu2
word:轮船;用动力机械推动的大船。;yong4 dong4 li4 ji1 xie4 tui1 dong4 de0 da4 chuan2
word:准确;符合实际或要求，没有差错。;fu2 he2 shi2 ji4 huo4 yao1 qiu2 mei2 you3 cha1 cuo4
word:讨论;交换意见，探讨问题。;jiao1 huan4 yi4 jian4 tan4 tao3 wen4 ti2
word:允许;同意别人做某件事。;tong2 yi4 bie2 ren2 zuo4 mou3 jian4 shi4
word:运动;为锻炼身体而进行的活动。;wei4 duan4 lian4 shen1 ti3 er2 jin4 xing2 de0 huo2 dong4
word:帮助;替别人出力、解决困难。;ti4 bie2 ren2 chu1 li4 jie3 jue2 kun4 nan2
word:绑架;用暴力把人劫走并控制起来。;yong4 bao4 li4 ba3 ren2 jie2 zou3 bing4 kong4 zhi4 qi3 lai2
word:棒球;使用球棒击球的一种球类运动。;shi3 yong4 qiu2 bang4 ji1 qiu2 de0 yi1 zhong3 qiu2 lei4 yun4 dong4
word:电灯;用电发光的照明器具。;yong4 dian4 fa1 guang1 de0 zhao4 ming2 qi4 ju4
word:能够;表示有能力或条件做某事。;biao3 shi4 you3 neng2 li4 huo4 tiao2 jian4 zuo4 mou3 shi4
word:等待;不采取行动，等候人或事情到来。;bu4 cai3 qu3 xing2 dong4 deng3 hou4 ren2 huo4 shi4 qing2 dao4 lai2
word:凳子;没有靠背的坐具。;mei2 you3 kao4 bei4 de0 zuo4 ju4
word:叮嘱;反复告诉别人要注意什么。;fan3 fu4 gao4 su4 bie2 ren2 yao4 zhu4 yi4 shen2 me0
word:停止;不再继续进行。;bu4 zai4 ji4 xu4 jin4 xing2
word:决定;经过考虑后作出选择。;jing1 guo4 kao3 lü4 hou4 zuo4 chu1 xuan3 ze2
word:懂得;知道、理解。;zhi1 dao4 li3 jie3
word:动物;以有机物为食、通常能够自主活动的生物。;yi3 you3 ji1 wu4 wei4 shi2 tong1 chang2 neng2 gou4 zi4 zhu3 huo2 dong4 de0 sheng1 wu4
word:爷爷;父亲的父亲。;fu4 qin1 de0 fu4 qin1
word:野外;离居民区较远的室外地方。;li2 ju1 min2 qu1 jiao4 yuan3 de0 shi4 wai4 di4 fang1
word:夜晚;天黑以后到天亮以前的时间。;tian1 hei1 yi3 hou4 dao4 tian1 liang4 yi3 qian2 de0 shi2 jian1
word:冤枉;受到不公正的指责或对待。;shou4 dao4 bu4 gong1 zheng4 de0 zhi3 ze2 huo4 dui4 dai4
word:元旦;公历一月一日。;gong1 li4 yi2 yue4 yi1 ri4
word:远方;距离很远的地方。;ju4 li2 hen3 yuan3 de0 di4 fang1
word:医院;给病人诊断和治疗的机构。;gei3 bing4 ren2 zhen3 duan4 he2 zhi4 liao2 de0 ji1 gou4
word:英雄;勇敢并作出杰出贡献的人。;yong3 gan3 bing4 zuo4 chu1 jie2 chu1 gong4 xian4 de0 ren2
word:欢迎;高兴地迎接别人到来。;gao1 xing4 di4 ying2 jie1 bie2 ren2 dao4 lai2
word:电影;用连续画面表现故事等内容的艺术。;yong4 lian2 xu4 hua4 mian4 biao3 xian4 gu4 shi4 deng3 nei4 rong2 de0 yi4 shu4
word:坚硬;很硬，不容易变形。;hen3 ying4 bu4 rong2 yi4 bian4 xing2

word:八方;四周各个方向。;si4 zhou1 ge4 ge4 fang1 xiang4
word:趴下;身体朝下伏在地面或物体上。;shen1 ti3 chao2 xia4 fu2 zai4 di4 mian4 huo4 wu4 ti3 shang4
word:山坡;山体倾斜的表面。;shan1 ti3 qing1 xie2 de0 biao3 mian4
word:爬山;沿山路向高处走。;yan2 shan1 lu4 xiang4 gao1 chu4 zou3
word:责骂;用严厉的话批评别人。;yong4 yan2 li4 de0 hua4 pi1 ping2 bie2 ren2
word:大门;房屋或院子的主要出入口。;fang2 wu1 huo4 yuan4 zi0 de0 zhu3 yao4 chu1 ru4 kou3
word:他们;指说话人和听话人以外的若干人。;zhi3 shuo1 hua4 ren2 he2 ting1 hua4 ren2 yi3 wai4 de0 ruo4 gan1 ren2
word:吞咽;使食物或液体从口中进入食道。;shi3 shi2 wu4 huo4 ye4 ti3 cong2 kou3 zhong1 jin4 ru4 shi2 dao4
word:抬头;把头向上举起。;ba3 tou2 xiang4 shang4 ju3 qi3
word:宝塔;多层的塔，也常指佛教建筑中的塔。;duo1 ceng2 de0 ta3 ye3 chang2 zhi3 fo2 jiao4 jian4 zhu4 zhong1 de0 ta3
word:踏步;两脚交替抬起和落下。;liang3 jiao3 jiao1 ti4 tai2 qi3 he2 luo4 xia4
word:拿手;擅长做的。;shan4 chang2 zuo4 de0
word:哪里;询问地方。;xun2 wen4 di4 fang0
word:拉手;用手拉住另一人的手。;yong4 shou3 la1 zhu4 ling4 yi1 ren2 de0 shou3
word:喇叭;一种管乐器，也指能扩大声音的装置。;yi1 zhong3 guan3 yue4 qi4 ye3 zhi3 neng2 kuo4 da4 sheng1 yin1 de0 zhuang1 zhi4
word:歌曲;可以演唱的音乐作品。;ke3 yi3 yan3 chang4 de0 yin1 yue4 zuo4 pin3
word:个别;单个的或少数的。;dan1 ge4 de0 huo4 shao3 shu4 de0
word:喝水;把水饮入口中。;ba3 shui3 yin3 ru4 kou3 zhong1
word:火车;沿轨道行驶的列车。;yan2 gui3 dao4 xing2 shi3 de0 lie4 che1
word:几何;研究图形、大小和空间关系的数学分支。;yan2 jiu1 tu2 xing2 da4 xiao3 he2 kong1 jian1 guan1 xi0 de0 shu4 xue2 fen1 zhi1
word:七彩;多种鲜明的颜色。;duo1 zhong3 xian1 ming2 de0 yan2 se4
word:骑马;坐在马背上行进。;zuo4 zai4 ma3 bei4 shang4 xing2 jin4
word:知道;了解某种情况或知识。;liao3 jie3 mou3 zhong3 qing2 kuang4 huo4 zhi1 shi0
word:赤红;鲜明的红色。;xian1 ming2 de0 hong2 se4
word:十分;表示程度很高。;biao3 shi4 cheng2 du4 hen3 gao1
word:是否;是不是。;shi4 bu4 shi4
word:文字;记录语言的书写符号。;ji4 lu4 yu3 yan2 de0 shu1 xie3 fu2 hao4
word:雌雄;雌性和雄性。;ci1 xing4 he2 xiong2 xing4
word:次数;某种行为或事情发生的数量。;mou3 zhong3 xing2 wei2 huo4 shi4 qing2 fa1 sheng1 de0 shu4 liang4
word:五官;通常指耳、目、口、鼻、舌，也泛指面部器官。;tong1 chang2 zhi3 er3 mu4 kou3 bi2 she2 ye3 fan4 zhi3 mian4 bu4 qi4 guan1
word:白鹅;羽毛主要呈白色的鹅。;yu3 mao2 zhu3 yao4 cheng2 bai2 se4 de0 e2
word:淤泥;水中沉积的细软泥土。;shui3 zhong1 chen2 ji1 de0 xi4 ruan3 ni2 tu3
word:癌症;恶性肿瘤疾病的统称。;e4 xing4 zhong3 liu2 ji2 bing4 de0 tong3 cheng1
word:矮小;身材或物体的高度较低。;shen1 cai2 huo4 wu4 ti3 de0 gao1 du4 jiao4 di1
word:小狗;幼小的狗，也可亲切地称呼狗。;you4 xiao3 de0 gou3 ye3 ke3 qin1 qie4 de0 cheng1 hu0 gou3
word:溜冰;穿冰鞋在冰面上滑行。;chuan1 bing1 xie2 zai4 bing1 mian4 shang4 hua2 xing2
word:六月;一年中的第六个月。;yi1 nian2 zhong1 de0 di4 liu4 ge4 yue4
word:奔跑;快速地跑。;kuai4 su4 de0 pao3
word:笨重;体积大或重量大，移动不方便。;ti3 ji1 da4 huo4 zhong4 liang4 da4 yi2 dong4 bu4 fang1 bian4
word:头晕;感到头部昏沉或周围在旋转。;gan3 dao4 tou2 bu4 hun1 chen2 huo4 zhou1 wei2 zai4 xuan2 zhuan3
word:园丁;从事花木种植和照料的人。;cong2 shi4 hua1 mu4 zhong4 zhi2 he2 zhao4 liao4 de0 ren2
word:椰子;椰树的果实，外壳坚硬，内有汁液和果肉。;ye1 shu4 de0 guo3 shi2 wai4 ke2 jian1 ying4 nei4 you3 zhi1 ye4 he2 guo3 rou4
