executionId,caseId,platform,layer,status,coverage,buildSha256,executedAt,device,scope,evidence
W5-20260923-008,HM-T166,Android,platform,PASS,partial,44f0638f000a87984f999a970f8828d548a0065c643321ea5f9cda89b8ac698e,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,工程包导入24条后混选四类各一；Android导出ZIP含恰好四条指定ID且正文拼音译文除时间戳外与原工程包一致；0音轨；未验其他用户内容或真机,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-009,HM-T166,Windows,integration,PASS,partial,89ce2b94a238349540b84f5d115cd624bddd17019ce0cc24a51fa2c1a9e96068,2026-09-23,Windows .NET10 Release isolated service host,Android实际导出四类包在全新Windows临时库新增4条且文档JSON一致；再导入复用4条；未验Windows原生界面或音轨,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-010,HM-T165,Android,platform,PASS,partial,09ed5eeeaac557eca52db38c26d3065489ac28d80649fbffecdcfb68a606be46,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,单条工程语法导出为原生hanpack并通过系统选择器再导入为0新增1复用；其余三类单条及新接收库未验,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-011,HM-T141,Android,platform,PASS,partial,09ed5eeeaac557eca52db38c26d3065489ac28d80649fbffecdcfb68a606be46,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,独立工程学习资源1.0.0经系统文件选择器安装4条并在重启后保留；样例无音轨且未验四类资源内容,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-012,HM-T146,Android,platform,PASS,partial,09ed5eeeaac557eca52db38c26d3065489ac28d80649fbffecdcfb68a606be46,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,撤下一条工程语法资源后条目页显示隐藏和Restore；重启后资源列表仍4条1 hidden；其他类与普通列表不可见未单独核对,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-013,HM-T147,Android,platform,PASS,partial,09ed5eeeaac557eca52db38c26d3065489ac28d80649fbffecdcfb68a606be46,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,外部工程资源1.0.0至1.0.1预览4不变1新增；更新后5条1 hidden且中国可见；个人副本和音轨未验,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-014,HM-T147,Windows,integration,PASS,partial,7e0e024984be60b2da3ed6df5d8b5487ff71266363a4210214bd374dc34574e3,2026-09-23,Windows .NET10 Release isolated service host,同两包全新临时库正式安装器升级4至5条；撤下entry-1保留；未验Windows原生UI及个人副本,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-015,HM-T142,Android,platform,PASS,partial,09ed5eeeaac557eca52db38c26d3065489ac28d80649fbffecdcfb68a606be46,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,重复选择同一1.0.1工程资源显示already installed 5 entries；随后旧版被拒且详情仍5条1 hidden；索引音轨收据未逐项核对,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-016,HM-T147,Windows,integration,PASS,partial,01f0a81dda7d2fc05e042c367df4f2bfb86304729030ee3514eb034e5c6ac875,2026-09-23,Windows .NET10 Release isolated service host,工程资源1.0.2新增一段合成WAV；升级后5条1 hidden且标准音轨默认可用；安装音频哈希与包内一致；非真人发音,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-017,HM-T147,Android,platform,PASS,partial,09ed5eeeaac557eca52db38c26d3065489ac28d80649fbffecdcfb68a606be46,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,工程资源1.0.2音轨升级后仍5条1 hidden；音轨页显示合成WAV为默认适用且播放中与完成状态；未验真机路由或Android文件哈希,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-018,HM-T152,Android,platform,PASS,partial,09ed5eeeaac557eca52db38c26d3065489ac28d80649fbffecdcfb68a606be46,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,含合成标准音轨的外部资源卸载后0条1 hidden且重启未自动重装；显式同版重装后5条1 hidden和默认适用音轨恢复；用户录音草稿未验,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-019,HM-T152,Android,platform,PASS,partial,09ed5eeeaac557eca52db38c26d3065489ac28d80649fbffecdcfb68a606be46,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,已撤下资源条目附加个人导入合成音轨；卸载后retained正文及两轨仍在；同版重装后5条1 hidden且个人轨适用标准轨默认；非麦克风录音且无真机听审,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-020,HM-T152,Android,platform,PASS,partial,09ed5eeeaac557eca52db38c26d3065489ac28d80649fbffecdcfb68a606be46,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,同版重装后仅恢复原撤下entry；管理页该条变Available且详情从1 hidden到0 hidden；个人导入轨与默认标准轨仍适用；未逐条核对学习搜索索引,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-021,HM-T149,Android,platform,PASS,partial,09ed5eeeaac557eca52db38c26d3065489ac28d80649fbffecdcfb68a606be46,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,资源语法条目另存_W5个人副本且音轨初始为空；另行导入合成WAV后为默认适用；源包卸载和同版重装后副本标题与音轨仍在；未验人工拼音正文修改和更高版本更新,tracking/evidence/W5-REGRESSION-20260923.md
