怛	dàn
怛	dá
怜	lián
怜	líng
怜	lǐng
思	sāi
思	sī
怞	chóu
怞	yóu
怟	dì
怠	dài
怠	yí
怡	yí
怢	dié
怢	tuì
怢	tū
怣	yóu
怤	fū
急	jí
怦	pēng
性	xìng
怨	yuàn
怨	yùn
怩	ní
怪	guài
怫	bèi
怫	fèi
怫	fú
怬	xì
怭	bì
怮	yào
怮	yōu
怯	qiè
怰	xuàn
怱	cōng
怲	bǐng
怳	huǎng
怴	xuè
怴	xù
怵	chù
怵	xù
怶	bì
怶	pī
怷	shù
怸	xī
怹	tān
怺	yǒng
总	zǒng
怼	duì
怽	mo
怾	zhǐ
怿	yì
恀	shì
恁	nèn
恁	nín
恁	rèn
恂	shùn
恂	xún
恃	shì
恃	zhì
恄	xì
恅	lǎo
恆	gèng
恆	héng
恇	kuāng
恈	móu
恉	zhǐ
恊	xié
恋	liàn
恌	tiāo
恌	yáo
恍	guāng
恍	huǎng
恎	dié
恏	hào
恐	kǒng
恑	guǐ
恑	wéi
恒	héng
恓	qī
恓	xù
恓	xī
恔	jiǎo
恔	xiào
恕	shù
恖	sī
恗	hū
恗	kuā
恘	qiū
恙	yàng
恚	huì
恛	huí
恜	chì
恝	jiá
恝	qì
恞	yí
恟	xiōng
恠	guài
恡	lìn
恢	huī
恣	zì
恤	xù
恥	chǐ
恦	shàng
恧	nǜ
恨	hèn
恩	ēn
恪	kè
恫	dòng
恫	tōng
恬	tián
恭	gōng
恮	quān
恮	zhuān
息	xī
恰	qià
恱	yuè
恲	pēng
恳	kěn
恴	dé
恵	huì
恶	è
恷	xiao
恸	tòng
恹	yān
恺	kǎi
恻	cè
恼	nǎo
恽	yùn
恾	máng
恿	tōng
恿	yǒng
悀	yǒng
悁	juàn
悁	yuān
悂	bī
悂	pī
悂	pǐ
悃	kǔn
悄	qiào
悄	qiāo
悄	qiǎo
悅	yuè
悆	shū
悆	yù
悇	tú
悇	yú
悈	jiè
悈	kè
悉	xī
悊	zhé
悋	lìn
悌	tì
悍	hàn
悎	hào
悎	jiào
悏	qiè
悐	tì
悑	bù
悒	yì
悓	qiàn
悔	huǐ
悕	xī
悖	bèi
悖	běi
悗	mán
悗	mèn
悘	yì
悘	yī
悙	hèng
悙	hēng
悚	sǒng
悛	quān
悛	xún
悜	chěng
悝	kuī
悞	wù
悟	wù
悠	yōu
悡	lí
悢	liàng
悢	lǎng
患	huàn
悤	cōng
悥	yì
悦	yuè
悧	lì
您	nín
悩	nǎo
悪	è
悫	què
悬	xuán
悭	qiān
悮	wù
悯	mǐn
悰	cóng
悱	fěi
悲	bēi
悳	dé
悴	cuì
悵	chàng
悶	mèn
悶	mēn
悷	lì
悸	jì
悹	guàn
悺	guàn
悻	xìng
悼	dào
悽	qì
悽	qī
悾	kōng
悾	kǒng
悿	tiǎn
惀	lùn
惀	lún
惁	xī
惂	kǎn
惃	gǔn
惄	nì
情	qíng
惆	chóu
惆	dāo
惆	qiū
惇	dūn
惈	guǒ
惉	zhān
惊	jīng
惊	liáng
惋	wǎn
惌	wǎn
惌	yuān
惌	yù
惍	jīn
惎	jì
惏	lán
惏	lín
惐	xù
惐	yù
惑	huò
惒	hé
惓	juàn
惓	quán
惔	dàn
惔	tán
惕	tì
惖	tì
惗	niè
惘	wǎng
惙	chuì
惙	chuò
惚	hū
惛	hūn
惛	hǔn
惛	mèn
惜	xī
惝	chǎng
惝	tǎng
惞	xīn
惟	wéi
惟	wěi
惠	huì
惡	hū
惡	wù
惡	wū
惡	è
惡	ě
惢	ruǐ
惢	suǒ
惣	zǒng
惤	jiān
惥	yǒng
惦	diàn
惧	jù
惨	cǎn
惩	chéng
惪	dé
惫	bèi
惬	qiè
惭	cán
惮	dàn
惯	guàn
惰	duò
惰	tuó
惱	nǎo
惲	yùn
想	xiǎng
惴	chuǎn
惴	guà
惴	zhuì
惵	dié
惵	tiē
惶	huáng
惷	chǔn
惸	qióng
惹	ruò
惹	rě
惺	xīng
惻	cè
惼	biǎn
惽	hūn
惽	mǐn
惾	zōng
惿	shì
惿	tí
愀	qiù
愀	qiǎo
愁	chóu
愁	jiū
愁	qiǎo
愂	bèi
愃	xuān
愄	wēi
愅	gé
愆	qiān
愇	wěi
愈	yù
愉	tōu
愉	yú
愉	yǔ
愊	bì
愋	xuān
愌	huàn
愍	fēn
愍	mǐn
愎	bì
意	yì
意	yī
愐	miǎn
愑	yǒng
愒	hè
愒	kài
愒	qì
愓	dàng
愓	shāng
愓	táng
愓	yáng
愔	yīn
愕	è
愖	chén
愖	dān
愖	xìn
愗	mào
愘	kè
愘	qià
愘	qiā
愙	kè
愚	yú
愛	ài
愜	qiè
愝	yǎn
愞	nuò
感	gǎn
感	hàn
愠	wěn
愠	yùn
愠	yǔn
愡	zǒng
愢	sāi
愢	sī
愢	sǐ
愣	lèng
愤	fèn
愥	yīng
愦	kuì
愧	kuì
愨	què
愩	gòng
愩	gōng
愩	hǒng
愪	yún
愫	sù
愬	sè
愬	sù
愭	qí
愮	yào
愮	yáo
愯	sǒng
愰	huàng
愰	huǎng
愱	jí
愲	gǔ
愳	jù
愴	chuàng
愴	chuǎng
愵	nì
愶	xié
愷	kǎi
愸	zhěng
愹	yǒng
愺	cǎo
愻	xùn
愼	shèn
愽	bó
愾	kài
愾	qì
愾	xì
愿	yuàn
慀	xié
慀	xì
慁	hùn
慂	yǒng
慃	yǎng
慄	lì
慅	cǎo
慅	sāo
慆	tāo
慇	yīn
慈	cí
慉	chù
慉	xù
慊	qiàn
慊	qiè
慊	qiǎn
慊	xián
態	tài
慌	huang
慌	huāng
慌	huǎng
慍	yùn
慎	shèn
慎	zhèn
慏	mǐng
慐	gong
慑	shè
慒	cáo
慒	cóng
慓	piào
慓	piāo
慔	mù
慕	mù
慖	guó
慗	chì
慘	cǎn
慙	cán
慚	cán
慛	cuī
慜	mǐn
慝	nì
慝	tè
慞	zhāng
慟	tòng
慠	ào
慠	áo
慡	shuǎng
慢	màn
慢	mán
慣	guàn
慤	què
慥	cào
慥	zào
慦	jiù
慧	huì
慨	kǎi
慩	lián
慪	òu
慪	ōu
慫	sǒng
慬	jìn
慬	jǐn
慬	qín
慭	yìn
慮	lǘ
慮	lǜ
慯	shāng
慰	wèi
慱	tuán
慲	mán
慳	qiān
慳	xián
慴	shè
慴	zhé
慵	yōng
慶	qiāng
慶	qìng
慶	qīng
慷	kāng
慸	chì
慸	dì
慹	zhé
慹	zhí
慺	lóu
慺	lǚ
慻	juàn
慼	qī
慽	qī
慾	yù
慿	píng
憀	liáo
憁	còng
憁	sōng
憂	yōu
憃	chōng
憄	zhì
憅	tòng
憆	chēng
憇	qì
憈	qū
憉	péng
憊	bèi
憋	biē
憌	qióng
憍	jiāo
憎	zēng
憏	chì
憐	lián
憑	píng
憒	kuì
憓	huì
憔	qiáo
憕	chéng
憕	dèng
憕	zhèng
憖	xìn
憖	yìn
憖	yín
憗	yìn
憘	xī
憘	xǐ
憙	xǐ
憚	chǎn
憚	dàn
憚	dá
憛	tán
憜	duò
憝	duì
憞	duì
憞	dùn
憞	tūn
憟	sù
憠	jué
憡	cè
憢	jiāo
憢	xiāo
憣	fān
憤	fèn
憥	láo
憦	lào
憦	láo
憧	chōng
憧	zhuàng
憨	hān
憩	qì
憪	xiàn
憪	xián
憫	mǐn
憬	jǐng
憭	liáo
憭	liǎo
憮	wú
憮	wǔ
憯	cǎn
憰	jué
憱	cù
憲	xiàn
憲	xiǎn
憳	tǎn
憴	shéng
憵	pī
憶	yì
憷	chù
憷	chǔ
憸	xiān
憹	náng
憹	náo
憹	nóng
憹	nǎo
憺	dàn
憻	tǎn
憼	jìng
憼	jǐng
憽	sōng
憾	dàn
憾	hàn
憿	jiǎo
憿	jī
懀	wèi
懁	huān
懁	xuān
懂	dǒng
懃	qín
懄	qín
懅	jù
懆	cǎo
懆	sào
懆	sāo
懇	kěn
懈	xiè
應	yìng
應	yīng
懊	yù
懊	ào
懋	mào
懌	yì
懍	lǐn
懎	sè
懏	jùn
懐	huái
懑	mèn
懒	lǎn
懓	ài
懔	lǎn
懔	lǐn
懕	yàn
懕	yè
懕	yān
懖	kuò
懗	xià
懘	chì
懙	yǔ
懚	yìn
懛	dāi
懜	mèng
懜	méng
懜	měng
懝	nì
懝	nǐ
懝	ài
懞	méng
懞	měng
懟	duì
懠	jì
懠	jī
懠	qí
懡	mǒ
懢	lán
懢	xiàn
懣	mèn
懤	chóu
懥	zhì
懦	nuò
懧	nuò
懨	yān
懩	yǎng
懪	bó
懫	zhì
懬	kuàng
懭	kuǎng
懮	yōu
懮	yǒu
懯	fū
懰	liú
懰	liǔ
懱	miè
懲	chéng
懳	hui
懴	chàn
懵	mèng
懵	měng
懶	lài
懶	lǎn
懷	huái
懸	xuán
懹	ràng
懺	chàn
懻	jì
懼	jù
懽	guàn
懽	huān
懾	shè
懿	yì
懿	yī
戀	liàn
戁	nǎn
戂	mí
戂	mó
戃	tǎng
戄	jué
戅	gàng
戆	gàng
戇	gàng
戇	zhuàng
戈	gē
戉	yuè
戊	wù
戋	jiān
戌	qu
戌	xū
戍	shù
戎	róng
戎	rēng
戏	xì
成	chéng
我	wǒ
戒	jiè
戓	gē
戔	cán
戔	jiān
戕	qiāng
戕	zāng
或	huò
或	yù
戗	qiāng
战	zhàn
戙	dòng
戚	cù
戚	qī
戛	jiá
戜	dié
戝	zéi
戞	jiá
戟	jǐ
戠	zhí
戠	zhī
戡	kān
戡	zhěn
戢	jí
戣	kuí
戤	gài
戥	děng
戦	zhàn
戧	chuāng
戧	qiàng
戧	qiāng
戨	gē
戩	jiǎn
截	jié
戫	yù
戬	jiǎn
戭	yǎn
戭	yǒu
戮	lù
戯	hū
戰	zhàn
戱	xì
戲	huī
戲	hū
戲	suō
戲	xì
戲	xī
戲	yī
戳	chuō
戴	dài
戵	qú
戶	hù
户	hù
戸	hù
戹	è
戺	shì
戺	yí
戻	tì
戼	mǎo
戽	hù
戾	lì
房	fáng
房	páng
所	suǒ
扁	biān
扁	biǎn
扁	pián
扁	piān
扂	diàn
扃	jiōng
扃	jiǒng
扄	jiōng
扄	shǎng
扅	yí
扆	yǐ
扇	shàn
扇	shān
扈	hù
扉	fēi
扊	yǎn
手	shǒu
扌	shou
才	cái
才	zāi
扎	zhá
扎	zhā
扎	zhǎ
扎	zā
扏	qiú
扐	cái
扐	lè
扐	lì
扑	pì
扑	pū
扒	bié
扒	bài
扒	bā
扒	pá
打	dá
打	dǎ
扔	rèng
扔	rēng
払	fǎn
扖	rù
扗	zài
托	tuō
扙	zhàng
扚	diǎo
扚	dí
扚	lì
扚	yuē
扛	gāng
扛	káng
扜	wū
扜	yū
扝	kū
扝	wū
扞	gǎn
扞	hàn
扟	shēn
扠	chā
扠	chāi
扠	zhǎ
扡	chǐ
扡	tuō
扡	yǐ
扢	gē
扢	gǔ
扢	jié
扢	qì
扣	kòu
扤	wù
扥	dèn
扦	qiān
执	zhí
扨	rèn
扩	kuò
扪	mén
扫	sǎo
扬	yáng
扭	chǒu
扭	niǔ
扭	zhòu
扭	zhǒu
扮	bàn
扮	fēn
扮	fěn
扮	huǒ
扯	chě
扰	rǎo
扰	yòu
扱	chā
扱	qì
扱	xī
扲	qián
扲	qín
扳	bān
扳	pān
扴	jiá
扵	yú
扶	fú
扶	pú
扷	ào
扸	xī
扸	zhé
批	pí
批	pī
扺	qí
扺	zhǐ
扻	kǎn
扻	sǔn
扻	zhì
扼	è
扽	dèn
找	huá
找	zhǎo
承	chéng
承	zhèng
承	zhěng
技	jì
技	qí
抁	yǎn
抂	kuáng
抂	wǎng
抃	biàn
抄	chào
抄	chāo
抄	chǎo
抄	suō
抅	jū
抆	wěn
抇	hú
抈	yuè
抉	jué
把	bà
把	bǎ
把	pá
抋	qìn
抌	dǎn
抌	shěn
抍	zhěng
抎	yǔn
抏	wán
抐	nà
抐	nè
抐	nì
抐	ruì
抑	yì
抒	shū
抓	zhuā
抔	póu
投	dòu
投	tóu
抖	dǒu
抗	gāng
抗	kàng
折	shé
折	tí
折	zhé
折	zhē
抙	póu
抚	fǔ
抛	pāo
抜	bá
抝	ǎo
択	zé
抟	tuán
抠	kōu
抡	lūn
抢	qiǎng
抣	yun
护	hù
报	bào
抦	bǐng
抧	zhǎi
抧	zhǐ
抨	bēng
抨	pēng
抩	nán
抪	bá
抪	bù
抪	pū
披	pī
抬	chī
抬	tái
抭	tāo
抭	yǎo
抮	zhěn
抯	zhā
抰	yāng
抱	bào
抱	pāo
抱	pǒu
抲	hè
抲	hē
抲	qiā
抳	ní
抳	nǐ
抴	shé
抴	yè
抵	dǐ
抵	qí
抵	zhǐ
抶	chì
抷	pēi
抷	pī
抸	jiā
抹	mò
抹	mā
抹	mǒ
抺	mèi
抻	chēn
抻	shēn
押	jiǎ
押	xiá
押	yā
抽	chōu
抾	qū
抿	mǐn
拀	chù
拁	jiā
拁	yá
拂	bì
拂	fèi
拂	fú
拂	pì
拃	zhà
拃	zhá
拃	zhǎ
拃	zhǎn
拄	zhǔ
担	dàn
担	dān
担	dǎn
担	jiē
拆	chè
拆	chì
拆	chāi
拆	cā
拇	mǔ
拈	diān
拈	niān
拈	niǎn
拉	la
拉	là
拉	lá
拉	lā
拉	lǎ
拊	bǔ
拊	fū
拊	fǔ
拋	pāo
拌	bàn
拌	pān
拍	bó
拍	pāi
拎	līn
拎	līng
拏	ná
拐	guǎi
拑	qián
拒	jù
拒	jǔ
拓	tuò
拓	tà
拓	zhí
拔	bié
拔	bá
拔	bèi
拔	bō
拔	fá
拕	tuō
拖	chǐ
拖	tuō
拗	niù
拗	yù
拗	ào
拗	ǎo
拘	gōu
拘	jú
拘	jū
拘	jǔ
拙	zhuō
拚	biàn
拚	fèn
拚	fān
拚	pàn
拚	pīn
招	qiáo
招	sháo
招	zhāo
拜	bài
拝	bài
拞	dǐ
拟	nǐ
拠	jù
拡	kuò
拢	lǒng
拣	jiǎn
拤	qiá
拥	yōng
拦	lán
拧	níng
拨	bō
择	zé
拪	qiān
拫	hén
括	kuò
拭	shì
拮	jiá
拮	jié
拯	zhěng
拰	nǐn
拱	gǒng
拱	jú
拲	gǒng
拳	quán
拴	quán
拴	shuān
拵	cún
拵	zùn
拶	zā
拶	zǎn
拷	kǎo
拸	chǐ
拸	hài
拸	yí
拹	xié
拺	chuò
拺	cè
拺	sè
拻	huī
拼	bìng
拼	pīn
拽	yè
拽	zhuài
拽	zhuāi
拾	jiè
拾	shè
拾	shí
拿	ná
挀	bāi
持	chí
挂	guà
挃	dié
挃	zhì
挄	guāng
挄	kuò
挅	duò
挅	duǒ
挆	duǒ
指	zhǐ
挈	jiá
挈	qià
挈	qiè
挈	qì
挈	shì
按	àn
挊	nòng
挋	zhèn
挌	gé
挌	hé
挍	jiào
挍	jiāo
挎	kuà
挎	kōu
挎	kū
挏	dòng
挐	ná
挐	nú
挐	rú
挑	diào
挑	tiao
挑	tiáo
挑	tiāo
挑	tiǎo
挑	táo
挒	liè
挓	zhā
挔	lǚ
挕	dié
挕	shè
挖	wā
挗	jué
挘	liě
挙	jǔ
挚	zhì
挛	luán
挜	yà
挝	wō
挞	tà
挟	xié
挠	náo
挡	dǎng
挢	jiǎo
挣	zhèng
挣	zhēng
挤	jǐ
挥	huī
挦	xián
挧	yǔ
挨	ái
挨	āi
挩	tuō
挪	nuó
挫	cuò
挫	zuò
挬	bó
挭	gěng
挮	tì
挮	tǐ
振	zhèn
振	zhēn
振	zhěn
挰	chéng
挱	sā
挲	shā
挲	suō
挲	sā
挳	kēng
挴	měi
挵	nòng
挶	jū
挷	péng
挸	jiǎn
挹	yì
挺	tíng
挺	tǐng
挻	shān
挻	yán
挼	luò
挼	ruá
挼	ruó
挼	suī
挽	wǎn
挾	jiā
挾	xié
挿	chā
捀	féng
捁	jiǎo
捁	kù
捂	wǔ
捃	jùn
捄	jiù
捄	jū
捄	qiú
捅	tǒng
捆	hún
捆	kǔn
捇	chì
捇	huò
捈	chá
捈	shū
捈	tú
捉	zhuō
捊	fū
捊	póu
捊	pōu
捋	luō
捋	lǚ
捌	bié
捌	bā
捍	gǎn
捍	hàn
捍	xiàn
捎	qiào
捎	shào
捎	shāo
捎	shǎo
捎	xiāo
捏	niē
捐	juān
捐	yuán
捑	zè
捒	shù
捒	sōu
捒	sǒng
捓	yé
捓	yú
捔	jué
捔	zhuó
捕	bǔ
捖	guā
捖	wán
捗	bù
捗	pú
捗	zhì
捘	zùn
捙	yè
捚	zhāi
捛	lǚ
捜	sōu
捝	shuì
捝	tuō
捝	yǎn
捞	lāo
损	sǔn
捠	bāng
捡	jiǎn
换	huàn
捣	dǎo
捤	wěi
捥	wàn
捥	wān
捥	wǎn
捥	yù
捦	qín
捧	fèng
捧	pěng
捨	shě
捩	liè
捩	lì
捪	mín
捫	mén
捬	bǔ
捬	fù
捬	fǔ
捭	bā
捭	bǎi
捭	bǐ
据	jù
据	jū
捯	dáo
捯	dǎo
捰	luò
捰	luǒ
捰	wǒ
捱	ái
捱	āi
捲	juàn
捲	juǎn
捲	quán
捳	yuè
捴	zǒng
捵	chēn
捵	niǎn
捵	tiǎn
捶	chuí
捶	duǒ
捷	chā
捷	jié
捷	qiè
捸	tū
捹	bèn
捺	nà
捻	niān
捻	niē
捻	niǎn
捼	ruó
捼	ré
捼	wěi
捼	wō
捽	cù
捽	sū
捽	zuó
捽	zùn
捾	wò
捾	xiá
捿	qī
掀	hén
掀	xiān
掁	chéng
掂	diān
掃	sào
掃	sǎo
掄	lún
掄	lūn
掅	qìng
掆	gàng
掆	gāng
掇	duó
掇	duō
掇	zhuō
授	shòu
掉	diào
掉	nuó
掊	fù
掊	péi
掊	póu
掊	pǒu
掋	dì
掋	dǐ
掌	zhǎng
掍	hùn
掎	jǐ
掎	yǐ
掏	tāo
掐	qiā
掑	qí
排	bài
排	pái
排	pǎi
掓	shū
掔	qiān
掔	wàn
掕	líng
掖	yè
掖	yē
掗	yà
掗	yǎ
掘	jué
掘	kū
掙	zhēng
掚	liǎng
掛	guà
掜	niè
掜	nái
掜	nǐ
掜	yì
掝	huò
掝	xù
掞	shàn
掞	yàn
掞	yǎn
掟	dìng
掟	zhěng
掠	lüè
掠	lüě
採	cǎi
探	tàn
探	xián
掣	chè
掤	bīng
接	chā
接	jiē
接	shà
接	xié
掦	tì
控	kòng
控	kōng
控	qiāng
推	tuī
掩	yàn
掩	yǎn
措	cuò
措	cì
措	zé
掫	chōu
掫	zhōu
掫	zōu
掬	jū
掭	tiàn
掮	qián
掯	kèn
掰	bāi
掱	pá
掱	shǒu
掲	jiē
掳	lǔ
掴	guāi
掵	ming
掶	jié
掷	zhì
掸	dǎn
掹	meng
掺	chān
掻	sāo
掼	guàn
掽	pèng
掾	chuán
掾	yuàn
掿	nuò
揀	jiǎn
揁	kēng
揁	zhēng
揂	jiū
揂	yóu
揃	jiān
揃	jiǎn
揃	qiān
揄	chōu
揄	shū
揄	yáo
揄	yóu
揄	yú
揅	yán
揆	kuí
揇	nǎn
揈	hóng
揈	hōng
揈	jū
揈	xuàn
揉	róu
揊	chè
揊	pì
揋	wēi
揌	cāi
揌	sāi
揍	còu
揍	zòu
揎	xuān
描	miáo
描	mào
提	chí
提	dī
提	dǐ
提	shí
提	tí
揑	niē
插	chā
插	zhǎ
揓	shì
揔	sōng
揔	zǒng
揕	zhèn
揕	zhēn
揖	jí
揖	yī
揗	xún
揘	huáng
揘	yóng
揙	biàn
揙	biān
揚	yáng
換	huàn
揜	yǎn
揝	zuàn
揝	zǎn
揞	yàn
揞	yè
揞	ǎn
揟	jū
揟	xū
揠	yà
握	wò
握	òu
揢	ké
揢	qiā
揣	chuài
揣	chuāi
揣	chuǎi
揣	duǒ
揣	tuán
揣	zhuī
揤	jí
揥	dì
揥	tì
揦	là
揦	lá
揧	là
揨	chén
揩	jiá
揩	kāi
揪	jiū
揫	jiū
揬	tú
揭	hé
揭	jiē
揭	qì
揮	huī
揮	hún
揯	gèn
揰	chòng
揰	dǒng
揱	shuò
揱	xiān
揱	xiāo
揲	dié
揲	shé
揲	yè
揳	jiá
揳	xiè
揳	xié
揳	xiē
援	huàn
援	yuán
揵	jiàn
揵	jiǎn
揵	qián
揶	yé
揷	chā
揸	zhā
揹	bēi
揺	yáo
揻	wēi
揼	beng
揽	lǎn
揾	wèn
揾	wù
揿	qìn
搀	chān
搁	gē
搂	lǒu
搃	zǒng
搄	gèn
搅	jiǎo
搆	gòu
搆	gōu
搇	qìn
搈	róng
搉	huō
搉	què
搊	chōu
搊	zhū
搊	zǒu
搋	chuāi
搋	chǐ
搋	yí
搌	zhǎn
損	sǔn
搎	sūn
搏	bó
搐	chù
搑	náng
搑	nǎng
搑	róng
搒	bàng
搒	bēng
搒	bǎng
搒	péng
搓	chāi
搓	cuō
搓	cuǒ
搔	sào
搔	sāo
搕	kē
搕	è
搖	yáo
搗	dǎo
搘	zhī
搙	nuò
搙	nòu
搙	nù
搚	lā
搚	xiàn
搚	xié
搛	jiān
搛	lián
搜	shǎo
搜	sòu
搜	sōu
搜	xiāo
搝	qiǔ
搞	gǎo
搞	kào
搞	qiāo
搟	xiān
搟	xiǎn
搠	shuò
搡	sǎng
搢	jìn
搣	miè
搤	yì
搤	è
搥	chuí
搥	duī
搦	nuò
搧	shān
搨	dá
搨	tà
搩	jié
搩	zhǎ
搪	táng
搫	bān
搫	pán
搫	pó
搬	bān
搬	sù
搭	dā
搭	tà
搮	lì
搯	tāo
搰	hú
搰	kū
搱	nái
搱	zhì
搲	wà
搲	wā
搲	wǎ
搳	huá
搳	qiā
搳	xiá
搴	qiān
搵	wèn
搶	chéng
搶	chēng
搶	qiàng
搶	qiāng
搶	qiǎng
搷	shēn
搷	tián
搸	zhēn
搹	è
携	xié
搻	nuò
搼	quán
搽	chá
搾	zhà
搿	gé
摀	wǔ
摁	èn
摂	shè
摃	káng
摄	shè
摅	shū
摆	bǎi
摇	yáo
摈	bìn
摉	sōu
摊	tān
摋	shā
摋	shǎi
摋	sà
摌	chǎn
摌	sùn
摍	suō
摎	jiū
摎	jiǎo
摎	liáo
摎	liú
摎	náo
摏	chōng
摐	chuāng
摑	guó
摑	guāi
摒	bìng
摓	féng
摓	pěng
摔	shuāi
摕	dì
摕	tú
摕	zhí
摖	chá
摖	qì
摗	sōu
摗	sǒng
摘	zhāi
摙	liàn
摙	liǎn
摚	chēng
摛	chī
摜	guàn
摝	lù
摞	luò
摟	lōu
摟	lǒu
摠	zǒng
摡	gài
摡	xì
摢	chū
摢	hù
摣	zhuā
摣	zhā
摤	chuǎng
摥	tàng
摦	huà
摧	cuò
摧	cuī
摧	zuì
摨	nái
摨	zhì
摩	mí
摩	mó
摩	mā
摪	jiāng
摪	qiàng
摫	guī
摬	yǐng
摭	zhí
摮	qiāo
摮	áo
摯	zhì
摰	chè
摰	niè
摱	màn
摱	mán
摲	chàn
摲	cán
摳	kōu
摳	ōu
摴	chī
摴	chū
摵	mí
摵	shè
摵	sù
摶	tuán
摶	zhuàn
摶	zhuān
摷	chāo
摷	jiǎo
摸	mó
摸	mō
摹	mó
摹	mō
摺	lā
摺	xié
摺	zhé
摻	chān
摻	càn
摻	shān
摻	shǎn
摻	sēn
摼	kēng
摼	qiān
摽	biào
摽	biāo
摽	piāo
摽	pāo
摾	jiàng
摿	yáo
撀	gòu
撁	qiàn
撁	qiān
撂	liào
撃	jī
撄	yīng
撅	guì
撅	juè
撅	jué
撅	juē
撆	piē
撇	biē
撇	piē
撇	piě
撈	lāo
撉	dūn
撊	xiàn
撋	ruán
撋	ruí
撋	ruó
撋	rún
撋	suī
撌	guì
撍	qián
撍	zān
撍	zēn
撍	zǎn
撎	yì
撏	xián
撏	xún
撐	chēng
撑	chēng
撒	sā
撒	sǎ
撓	náo
撓	rào
撓	xiāo
撔	hòng
撕	sī
撕	xī
撖	hàn
撖	qiǎn
撗	guàng
撘	dā
撙	zǔn
撚	niǎn
撛	lǐn
撜	chéng
撜	zhěng
撝	huī
撝	wéi
撞	zhuàng
撟	jiāo
撟	jiǎo
撟	kǎo
撠	jǐ
撡	cāo
撢	dàn
撢	dǎn
撢	tàn
撢	xín
撣	chán
撣	dàn
撣	dǎn
撣	shàn
撣	tián
撣	tān
撣	zhǎn
撤	chè
撥	bō
撥	fá
撦	chě
撧	juē
撨	fǔ
撨	sōu
撨	xiāo
撩	liào
撩	liáo
撩	liāo
撩	liǎo
撩	lào
撪	bèn
撫	fǔ
撫	mó
撬	qiào
播	bō
播	bǒ
撮	chuā
撮	cuō
撮	zuì
撮	zuān
撮	zuǒ
撯	zhuó
撰	suàn
撰	xuǎn
撰	zhuàn
撱	tuǒ
撱	wěi
撲	bǔ
撲	pū
撳	qìn
撴	dūn
撵	niǎn
撶	huá
撷	xié
撸	lū
撹	jiǎo
撺	cuān
撻	tà
撼	hàn
撽	jī
撽	qiào
撽	yāo
撾	wō
撾	zhuā
撿	jiǎn
撿	liàn
擀	gǎn
擁	yōng
擂	lèi
擂	léi
擃	nǎng
擄	lǔ
擅	shàn
擆	zhuó
擇	yì
擇	zhái
擇	zé
擈	pū
擉	chuò
擊	jì
擊	jī
擊	xí
擋	dàng
擋	dǎng
擌	sè
操	cāo
擎	qíng
擏	jìng
擏	jǐng
擏	qíng
擐	huàn
擐	juǎn
擐	xuān
擑	jiē
擒	qín
擓	kuǎi
擔	dàn
擔	dān
擔	shàn
擕	xié
擖	guā
擖	gē
擖	jiā
擖	kā
擖	liè
擖	qiā
擖	yè
擖	zhá
擗	bò
擗	pǐ
擘	bò
擙	ào
據	jù
擛	yè
擜	è
擝	mēng
擞	sǒu
擟	mí
擠	jǐ
擡	tái
擢	zhuó
擣	chóu
擣	dǎo
擤	xǐng
擥	lǎn
擦	cā
擧	jǔ
擨	yé
擩	nòu
擩	nǔ
擩	ruán
擩	rù
擩	rǔ
擪	yè
擫	yè
擬	nǐ
擭	huò
擭	hù
擭	wò
擮	jié
擯	bìn
擰	nìng
擰	níng
擰	nǐng
擱	gé
擱	gē
擲	zhì
擳	jié
擳	zhì
擴	guàng
擴	kuò
擴	tǎng
擵	mó
擶	jiàn
擷	xié
擸	liè
擸	là
擹	tān
擺	bǎi
擻	sòu
擻	sǒu
擼	lū
擼	lǔ
擽	lì
擽	lüè
擽	yuè
擾	rǎo
擿	tī
擿	zhì
擿	zhāi
攀	pān
攁	yǎng
攂	lèi
攃	cā
攃	sǎ
攄	lù
攄	shū
攅	zǎn
攆	niǎn
攇	xiǎn
攈	jùn
攈	pèi
攉	huò
攉	huō
攉	què
攊	lì
攋	là
攋	lài
攌	huǎn
攍	yíng
攎	luó
攎	lú
攏	lǒng
攐	qiān
攑	qiān
攒	zǎn
攓	qiān
攔	lán
攕	jiān
攕	xiān
攖	yīng
攗	méi
攘	níng
攘	ràng
攘	rǎng
攘	xiǎng
攙	chān
攙	shàn
攚	wěng
攛	cuān
攜	xié
攝	niè
攝	shà
攝	shè
攝	zhé
攞	luó
攞	luǒ
攟	jùn
攠	mí
攠	mó
攡	chī
攢	cuán
攢	zuān
攢	zàn
攢	zǎn
攣	liàn
攣	luán
攤	nàn
攤	tān
攥	zuàn
攦	lì
攦	shài
攧	diān
攨	wā
攩	dǎng
攩	tǎng
攪	jiǎo
攫	jué
攬	lǎn
攭	luǒ
攭	lì
攮	nǎng
支	qí
支	zhì
支	zhī
攰	guì
攱	guì
攱	guǐ
攲	jī
攲	qī
攳	xún
攴	pū
攵	pū
收	shōu
攷	kǎo
攸	yōu
改	gǎi
攺	yǐ
攻	gōng
攼	gān
攼	hàn
攽	bān
攽	bīn
放	fàng
放	fāng
放	fǎng
政	zhèng
政	zhēng
敀	pò
敁	diān
敂	kòu
敃	fēn
敃	mǐn
敄	móu
敄	wù
故	gù
敆	hé
敇	cè
效	xiào
